//state          load   active   recovery  power    size(% of player)
//               time    time      time                    

lightSide         50      150       150      5          0.5
lightNeutral      50      150       100      3          0.5
lightJump         60      160       100      3          0.5
lightDown         30      150       200      3          0.5
lightNair         40      250       150      3          0.5
lightSair         60      150       120      5          0.5


heavySide         300     200       400      10         0.75
heavyNeutral      250     300       300      7          0.75
heavyJump         200     400       350      8          0.9
heavyDown         200     400       300      6          0.75
heavyNair         200     250       300      5          0.75
heavySair         300     300       280      6          0.8
